synset_id,word,meaning,word_len
1,ав,"Аливаа юмыг өөрийн болгох, хүлээн авах, эзэмших, гараар барьж тайлах, гартаа авах, авч тавих, салгах",2
2,ав,ав; ан гөрөө; гөрөө; ангуучлал,2
3,ам,"Хүн, амьтны хоёр уруулын хоорондох хөндий, хоол идэх эрхтэн, ам, уруул",2
4,ам,"Хэл ам хийх, ам алдах
Амаар хэлсэн: аман чөлөө (албан ёсны бус чөлөө), аман шалгалт",2
5,ам,"Юмны ирмэг, амсар, үзүүр:",2
6,ам,"Уул, нурууны салбарласан өндөр хянга, хамруудын хооронд орших хавчиг хөндий",2
7,баг,"Тодорхой ажил үүргийг хамтран биелүүлэхээр нэг зорилгоор нэгдсэн бүлэг хүн
Орон нутгийн засаг захиргааны хамгийн бага нэгж: багийн дарга",3
8,баг,Толгойд өмсөх нүүрний халхавч,3
9,байр,"Орогнон амьдрах газар, орон сууц",4
10,байр,"Ажил хийх газар
 Нийгэм, хамт олны доторх нөлөө, нэр төр",4
11,байр,"Зэрэг дэв, шагналт байр, дараалал",4
12,байр,"байрлал; байршил; байр, байрлахаар төлөвлөсөн зурвас газар",4
13,байр,"Төлөв байдал; зан авир
 Төрх байдал ",4
14,бараа,"худалдаа арилжааны эд зүйл
хураасан элдэв юм",5
15,бараа,үзэгдэхүйц; харагдахуйц; бараа; үзэгдэх орчин; овоо хараа,5
16,гар,"Дотор, далд байсан юм гадагш шилжин байрлах, ил болох:",3
17,гар,"Хүний биеийн мөрнөөс хурууны шувтрах үзүүр хүртэлх хэсгийн нэр
 Хүний гараар бүтээх ажил үйл : гар ажиллагаа",3
18,гар,"Юмны үүсэн бий болох, алдагдал гарах (алдагдал учрах, алдагдалд орох), ашиг дэлгэрэнгүй... (ашиг олох, ашиг бий болох), аюул гарах
Гатлах, гэтлэх, туулах, нэвтрэх, алгасаж өнгөрөх:",3
19,гол,үндсэн гол; гол; үндсэн; ерөнхий,3
20,гол,Газрын доорх болон хөрсний уснаас эх авч өөрийн голдрил саваар байнга урсах байгалийн урсгал ус:,3
21,гол,"төв хэсэг, байршил, дараалал,  дунд; хооронд",3
22,гүн,"Гүнзгий, лав:
Өтгөн тод өнгө: гүн ногоон ",3
23,гүн,"Гавьяа, шагнал: цол хэргэм",3
24,гүн,Гүн бодол,3
25,зах,"Нийгэм эдийн засгийн хөгжлийн нэг хэлбэр үйлдвэрлэл, борлуулалт, үйлчилгээний ажиллагааны үр дүн",3
26,зах,зах; үзүүр; ирмэг,3
27,зах,Худалдаа арилжааны газар,3
28,зах,хувцасны зах; хүзүүн хэсэг; зах,3
