text_id,text,synset_id,synset_word
t0000000001, оны долдугаар сарын#0000000001 13.,43,сар
t0000000002,"Соёл  олон түмний ажил хүмүүсийн гүнд#0000000002 өрнөж тэдний бодит үйл ажиллагаанд нь нөлөө үзүүлж, соёлын үйлчилгээг хүмүүсийн эрэлт хүсэлтэд тулгуурлан сэдэв, санааг амьдралын гүнээс олж шинэчлэл, өөрчлөлтийн гол баатар хөдөлмөрийн хүмүүс, хамт олны ажил үйлсийг өргөн сурталчлах, тэдний өмнө тулгарч байгаа бэрхшээл саадыг давах зөв арга замыг эрж олоход туслахад чиглүүлбэл зохино",22,гүн
t0000000003,"Соёл  олон түмний ажил хүмүүсийн гүнд өрнөж тэдний бодит үйл ажиллагаанд нь нөлөө үзүүлж, соёлын үйлчилгээг хүмүүсийн эрэлт хүсэлтэд тулгуурлан сэдэв, санааг амьдралын гүнээс#0000000003 олж шинэчлэл, өөрчлөлтийн гол баатар хөдөлмөрийн хүмүүс, хамт олны ажил үйлсийг өргөн сурталчлах, тэдний өмнө тулгарч байгаа бэрхшээл саадыг давах зөв арга замыг эрж олоход туслахад чиглүүлбэл зохино",22,гүн
t0000000004,"Соёл  олон түмний ажил хүмүүсийн гүнд өрнөж тэдний бодит үйл ажиллагаанд нь нөлөө үзүүлж, соёлын үйлчилгээг хүмүүсийн эрэлт хүсэлтэд тулгуурлан сэдэв, санааг амьдралын гүнээс олж шинэчлэл, өөрчлөлтийн гол#0000000004 баатар хөдөлмөрийн хүмүүс, хамт олны ажил үйлсийг өргөн сурталчлах, тэдний өмнө тулгарч байгаа бэрхшээл саадыг давах зөв арга замыг эрж олоход туслахад чиглүүлбэл зохино",19,гол
t0000000005,"Түүнчлэн хадланд ашиглах талбайг хамгаалах, түүний ургацыг хадах ээлж тогтоон бригад, салаанд хариуцуулан, тухайн хамт олноор тодорхой үүрэг амлалт авахуулах ажлыг одоохон хийвэл#0000000005 зохино",54,хий
t0000000006,/ эрүүл#0000000006 мэндийн даатгалын сан;,68,эрүүл
t0000000007,Бат хүзүүндээ хэзээ зүүснийг мэдэхгүй үргэлж зүүж явдаг булигаар гэртэй сахиусныхаа оосрыг таслан авч#0000000007 шидэв.,1,ав
t0000000008,"Энэ нь Балданцэрэнтэй сэтгэлийн гүн#0000000008 холбоотойгоо багшдаа мэдэгдэх гэсэн хэрэг бөгөөд ер Оюундарьд эцэг, эх, багш, ураг төрлийн хүмүүс бүгдэд мэдэгдэх гэсэн хүсэл оргил нь бадарч байгаа ажээ",24,гүн
t0000000009,Үүнээс цааш юу болох вэ? гэвэл: эрэгтэйчүүд хувь хувийн амрагийг хүргэж өгөхөөр уван цуван гарлаа#0000000009,16,гар
t0000000010," Хэнтэй явдаг юм бэ гэж эгдүү нь хүрсэн огцом дуугаар хэгжүүн хэлснээ цээжээ түрэн дээгүүр харж байгаад, <<би ганцаараа хайнаг тэрэгтэй#0000000010 түлээ авч явна",53,тэрэг
t0000000011," Хэнтэй явдаг юм бэ гэж эгдүү нь хүрсэн огцом дуугаар хэгжүүн хэлснээ цээжээ түрэн дээгүүр харж байгаад, <<би ганцаараа хайнаг тэрэгтэй түлээ авч#0000000011 явна",1,ав
t0000000012, оны наймдугаар сарын#0000000012 25.,43,сар
t0000000013,"Та өөрийгөө зохиолч, яруу найрагч гэж бодоод хэн нэгний гараар#0000000013 хөдөлдөг ""утсан хүүхэлдэй"" бол маргаашаас эхлээд зохиолч биш харин ""тайзан дээр орилдог илжиг"" гэж төсөөлөөрэй",17,гар
t0000000014,"Зөвхөн уран зохиолын төлөө ""элэг зүрх#0000000014 урагдсандаа л"" дээрх үгсийг зориг гарган өгүүлсэн юм шүү? Ёстой нөгөө ""аяаяааааяа"" гэдэг шиг хожмын үр сад минь хүн төрөлхтний иргэншил оюун санааны ийм түвшинд хүрчихсэн байхад монгол зохиолчид ерөөл, магтаал мэтийн тийм юм бичиж байсан гэдгийг олж мэдээд толгойгоо яаж сэгсрэхийг би төсөөлж байна",31,зүрх
t0000000015,"Зөвхөн уран зохиолын төлөө ""элэг зүрх урагдсандаа л"" дээрх үгсийг зориг гарган#0000000015 өгүүлсэн юм шүү? Ёстой нөгөө ""аяаяааааяа"" гэдэг шиг хожмын үр сад минь хүн төрөлхтний иргэншил оюун санааны ийм түвшинд хүрчихсэн байхад монгол зохиолчид ерөөл, магтаал мэтийн тийм юм бичиж байсан гэдгийг олж мэдээд толгойгоо яаж сэгсрэхийг би төсөөлж байна",18,гар
